rank,shoe,price,ReleaseDate,SKU,Designer,Nickname,Colorway,MainColor,UpperMaterial,Technology,Category
1,Air Jordan 5 Retro OG 'Black Metallic Reimagined',276,2/8/25,HF3975 001,Tinker Hatfield,Black Metallic Reimagined,Black/White/Metallic Silver/Fire Red,Black,Nubuck,Air,Lifestyle
2,Air Jordan 3 Retro 'Black Cat' 2025,228,1/11/25,CT8532 001,Tinker Hatfield,Black Cat,Black/Dark Charcoal/Black,Black,Suede,Air,Lifestyle
3,Air Jordan 11 Retro 'Legend Blue / Columbia' 2024,190,12/14/24,CT8012 104,Tinker Hatfield,Legend Blue / Columbia,White/Legend Blue/Black,White,Patent Leather,Air,Lifestyle
4,Gel 1130 'Black Pure Silver',113,5/31/23,1201A906 001,,Black Pure Silver,Black/Pure Silver,Black,Mesh,Gel,Lifestyle
5,Air Jordan 12 Retro 'Flu Game' 2025,274,3/1/25,CT8013 002,Tinker Hatfield,Flu Game,Black/Varsity Red,Black,Leather,Zoom Air,Lifestyle
6,Travis Scott x Air Jordan 1 Retro Low OG SP 'Velvet Brown',265,12/21/24,DM7866 202,Peter Moore,Velvet Brown,Dark Mocha/Black/Velvet Brown,Brown,Suede,Air,Lifestyle
7,Air Jordan 3 Retro OG 'Black Cement' 2024,170,11/23/24,DN3707 010,Tinker Hatfield,Black Cement,Black/Fire Red/Cement Grey/Sail,Black,Leather,Air,Lifestyle
8,Air Jordan 1 Retro High OG 'Black Toe Reimagined',142,2/15/25,DZ5485 106,Peter Moore,Black Toe Reimagined,Black/Black/Varsity Red/White,Red,Leather,Air,Lifestyle
9,Air Jordan 1 Retro High '85 OG 'Bred / Banned' 2025,296,2/14/25,HV6674 067,Peter Moore,Bred / Banned,Black/Varsity Red/White,Black,Leather,Air,Lifestyle
10,Air Jordan 5 Retro OG GS 'Black Metallic Reimagined',179,2/8/25,HF3976 001,Tinker Hatfield,Black Metallic Reimagined,Black/White/Metallic Silver/Fire Red,Black,Nubuck,Air,Lifestyle
11,9060 'Black Cat',169,3/1/25,U9060ZGE,,Black Cat,Black,Black,Suede,ABZORB,Lifestyle
12,Wmns Air Jordan 3 Retro 'Treat Yourself',180,2/1/25,HJ0178 600,Tinker Hatfield,Treat Yourself,Washed Coral/Gym Red/Sail,Pink,Leather,Air,Lifestyle
13,Air Foamposite One 'Galaxy' 2025,240,2/21/25,FQ4303 400,Eric Avar,Galaxy,Obsidian/Black/Anthracite,Blue,Foamposite,Zoom Air,Basketball
14,Zoom Kobe 6 Protro 'All-Star - Sail',259,2/13/25,FQ3546 100,Eric Avar,All-Star - Sail,Sail/Black/Light Bone/White/Platinum Violet,Cream,Synthetic,Zoom Air,Basketball
15,Air Jordan 4 Retro 'Fear' 2024,208,11/16/24,FQ8138 002,Tinker Hatfield,Fear,Black/White/Anthracite/Black/Pure Platinum,Black,Suede,Air,Lifestyle
16,Yeezy Slides 'Dark Onyx',121,3/7/24,ID5103,Kanye West,Dark Onyx,Dark Onyx/Dark Onyx/Dark Onyx,Black,EVA,EVA,Sandal
17,Air Diamond Turf '49ers' 2025,172,1/24/25,FZ8224 100,,49ers,White/Fire Red/Black/Metallic Gold,White,Leather,Air,Other
18,P-6000 'Metallic Silver',98,12/12/23,CN0149 001,,Metallic Silver,Metallic Silver/Sail/Black,Silver,Mesh,,Lifestyle
19,Air Jordan 12 Retro 'Blueberry',248,12/18/24,CT8013 140,Tinker Hatfield,Blueberry,White/Black/Game Royal,White,Leather,Zoom Air,Lifestyle
20,Air Force 1 '07 'Triple White',87,12/9/20,CW2288 111,Bruce Kilgore,Triple White,White/White/White,White,,Air,Lifestyle
21,Dunk Low 'Black White',70,3/10/21,DD1391 100,Peter Moore,Black White,White/Black/White,Black,Leather,,Lifestyle
22,Yeezy Boost 350 V2 'Onyx',144,6/20/22,HQ4540,Kanye West,Onyx,Onyx/Onyx/Onyx,Grey,Primeknit,Boost,Lifestyle
23,Yeezy Foam Runner 'Onyx',76,6/8/22,HP8739,Kanye West,Onyx,Onyx/Onyx/Onyx,Black,EVA,EVA,Lifestyle
24,Zoom Kobe 5 Protro 'Year of the Mamba - Eggplant',192,1/9/25,IB4481 500,Eric Avar,Year of the Mamba - Eggplant,Eggplant/Black/Metallic Gold,Purple,Synthetic,Zoom Air,Basketball
25,Gel 1130 'White Pure Silver',133,,1201B020 100,,White Pure Silver,White/Pure Silver,White,Mesh,Gel,Lifestyle
26,Air Jordan 11 Retro GS 'Legend Blue / Columbia' 2024,129,12/14/24,378038 104,Tinker Hatfield,Legend Blue / Columbia,White/Legend Blue/Black,White,Patent Leather,Air,Lifestyle
27,Dunk Low 'Grey Fog',77,9/21/21,DD1391 103,Peter Moore,Grey Fog,White/Grey Fog,Grey,Leather,,Lifestyle
28,Air Jordan 4 Retro 'White Thunder',276,8/24/24,FQ8138 001,Tinker Hatfield,White Thunder,Black/White/Black,Black,Nubuck,Air,Lifestyle
29,Wmns Samba OG 'Cheetah Pack - Preloved Red',137,1/30/25,JI2734,,Cheetah Pack - Preloved Red,Core Black/Preloved Red/Cream White,Brown,Fur,,Lifestyle
30,Travis Scott x Zoom Field Jaxx 'Light Chocolate',150,1/31/25,HQ3073 100,,Light Chocolate,White/Light Chocolate/White,White,Mesh,Zoom Air,Lifestyle
31,Air Jordan 3 Retro 'Lucky Shorts',162,2/22/25,CT8532 101,Tinker Hatfield,Lucky Shorts,Summit White/Hydrogen Blue/Legend Blue/Photon Dust/Pure Platinum/Sail,White,,Air,Lifestyle
32,Air Jordan 4 Retro 'Bred Reimagined',211,2/17/24,FV5029 006,Tinker Hatfield,Bred Reimagined,Black/Fire Red/Cement Grey/Summit White,Black,Leather,Air,Lifestyle
33,The Wizard of Oz x Dunk Low SB 'Poppy Field',154,12/23/24,FZ1291 600,,Poppy Field,Varsity Red/University Gold,Red,Textile,Zoom Air,Skateboarding
34,Gel 1130 'Clay Canyon',88,7/2/23,1201A256 113,,Clay Canyon,White/Clay Canyon,White,Mesh,Gel,Lifestyle
35,Tasman Slipper 'Black',117,11/1/21,5950 BLK,,Black,Black,Black,Suede,,Sandal
36,6 Inch Premium Waterproof Boot 'Wheat',125,1/5/19,TB010061 713,Nathan Swartz,Wheat,Wheat/Black,Brown,,,Boot
37,Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',480,9/28/24,DM7866 200,Peter Moore,Reverse Olive / Medium Olive,Medium Olive/Black/Sail/Muslin,Green,Suede,Air,Lifestyle
38,Air Jordan 3 Retro 'Cement Grey',161,8/31/24,CT8532 106,Tinker Hatfield,Cement Grey,Summit White/Fire Red/Cement Grey/Black,White,Leather,Air,Lifestyle
